TRANSACTION_ID,PARTNER_ID,TRANSACTION_DATE,SHOP_ID,CUSTOMER_ID,POINTS,TURNOVER
02070921070350412485,2,03.01.2022 14:08:09,12815,504157,19,58.2
10080021081464071429,1,14.02.2022 22:59:00,1023,640489,300,109.86
12054821052730572408,2,27.11.2021 12:56:48,15849,305730,22,66.93
05100021100938254180,4,09.04.2022 17:47:00,19998,382036,7,16.975
12100021101412704957,4,14.04.2022 12:39:00,19998,127422,16,38.8
06090021093035364159,4,31.03.2022 18:16:00,19998,353360,16,41.225
10070021072968061465,1,29.01.2022 22:59:00,1023,680620,300,59.6
01100021100644084352,4,06.04.2022 13:20:00,19998,693943,6,14.55
06041621040202342403,2,02.10.2021 18:35:16,12886,023341,105,314.28
02080021081323104296,4,13.02.2022 14:26:00,19998,231854,10,24.25
10040921042782142466,2,27.10.2021 22:26:09,12882,821278,32,96.03
11110021110606314135,4,06.05.2022 11:22:00,19998,062311,8,19.4
05100021100719174263,4,07.04.2022 17:44:00,19998,191177,6,14.55
01110021111865544339,4,18.05.2022 13:50:00,19998,655928,24,60.625
09010021010853271691,1,08.07.2021 21:59:00,1023,532610,300,107.92
04100021102290184843,4,22.04.2022 16:42:00,19998,901805,6,14.55
11110021111833714206,4,18.05.2022 11:56:00,19998,337311,7,16.975
11120021121865874306,4,18.06.2022 11:35:00,19998,658761,7,16.975
05100021102293954310,4,22.04.2022 17:01:00,19998,939553,22,55.775
10100021100749381963,1,07.04.2022 22:59:00,1023,470887,300,297.98
12030021030391823856,3,03.09.2021,19937,918222,194,776
06090021090290564896,4,02.03.2022 18:23:00,19998,905882,11,26.675
09020021022217331551,1,22.08.2021 21:59:00,1023,173368,300,147.53
06080021082673764480,4,26.02.2022 18:43:00,19998,737917,3,7.275
02110021111929134182,4,19.05.2022 14:40:00,19998,291078,4,9.7
07074121072507782424,2,25.01.2022 07:53:41,12792,886516,28,84.39
11080021082077684654,4,20.02.2022 11:17:00,19998,776685,9,21.825
05080021081003114218,4,10.02.2022 17:01:00,19998,031164,8,19.4
07080021080924534281,4,09.02.2022 19:34:00,19998,245345,27,67.9
07100021101178664907,4,11.04.2022 19:16:00,19998,786355,36,89.725
10090021090710921470,1,07.03.2022 22:59:00,1023,109373,300,98.55
